SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-4-2022,Multi-Family (2-4 Unit),72-74 Mapleton St,Boston,MA,02135,1300000,6,3.0,Brighton,3303,7498,1910,43,394,,Sold,,,https://www.redfin.com/MA/Boston/72-Mapleton-St-02135/home/9019574,MLS PIN,72884818,N,Y,42.3516462,-71.1478494
PAST SALE,December-29-2021,Condo/Co-op,7 Segel St #4,Boston,MA,02130,400000,1,1.0,Boston,850,,1930,80,471,305,Sold,,,https://www.redfin.com/MA/Boston/7-Segel-St-02130/unit-4/home/9139190,MLS PIN,72913567,N,Y,42.3136338,-71.109302
PAST SALE,December-31-2021,Condo/Co-op,10 Charlesgate E #202,Boston,MA,02215,689900,1,1.0,Boston,688,688,1910,78,1003,491,Sold,,,https://www.redfin.com/MA/Boston/10-Charlesgate-E-02215/unit-202/home/9240030,MLS PIN,72914293,N,Y,42.3499305,-71.0914212
PAST SALE,January-17-2022,Condo/Co-op,26 Danforth St #3,Boston,MA,02130,731000,3,1.0,Jamaica Plain,1084,1084,1920,61,674,280,Sold,,,https://www.redfin.com/MA/Boston/26-Danforth-St-02130/unit-3/home/40277074,MLS PIN,72911372,N,Y,42.318285,-71.1045822
PAST SALE,February-28-2022,Condo/Co-op,111 Perkins St #286,Boston,MA,02130,798000,2,2.0,Jamaica Plain,1310,,1963,19,609,2078,Sold,,,https://www.redfin.com/MA/Jamaica-Plain/111-Perkins-St-02130/unit-286/home/164663577,MLS PIN,72931101,N,Y,42.3222155,-71.1159742
PAST SALE,February-3-2022,Condo/Co-op,10 Commonwealth Ct Unit 4A,Boston,MA,02135,362500,2,1.0,Brighton,654,,1964,44,554,306,Sold,,,https://www.redfin.com/MA/Boston/10-Commonwealth-Ct-02135/unit-4A/home/177072033,MLS PIN,72916319,N,Y,42.346302,-71.1398849
PAST SALE,March-1-2022,Condo/Co-op,100 Pond St #5,Boston,MA,02130,1375000,2,2.5,Jamaica Plain,1687,,1890,18,815,1020,Sold,,,https://www.redfin.com/MA/Jamaica-Plain/100-Pond-St-02130/unit-5/home/9145979,MLS PIN,72913225,N,Y,42.314096,-71.1185038
PAST SALE,March-18-2022,Townhouse,45 Hawthorne St #3,Boston,MA,02119,955000,3,2.5,Roxbury's Fort Hill,2072,,2019,1,461,250,Sold,,,https://www.redfin.com/MA/Boston/45-Hawthorne-St-02119/unit-3/home/145603065,MLS PIN,72910058,N,Y,42.3241717,-71.0926978
PAST SALE,,Condo/Co-op,174 Cottage St #301,Boston,MA,02128,220000,2,1.0,,684,,1905,,322,,,,,https://www.redfin.com/MA/Boston/174-Cottage-St-02128/unit-301/home/9107714,,,N,Y,42.3702457,-71.0326079
PAST SALE,December-30-2021,Single Family Residential,408 Bremen St,Boston,MA,02128,365000,3,1.5,East Boston,927,1250,1915,79,394,,Sold,,,https://www.redfin.com/MA/Boston/408-Bremen-St-02128/home/9118867,MLS PIN,72921574,N,Y,42.378745,-71.027663
